LI-8250,LI-8250,LI-8250,LI-8250,CHAMBER,CHAMBER,CHAMBER,CHAMBER,CHAMBER,LI-8250,LI-870,LI-870,FLUX_LI-870,FLUX_LI-870,FLUX_LI-870,FLUX_LI-870,FLUX_LI-870,FLUX_LI-870,FLUX_LI-870,FLUX_LI-870,FLUX_LI-870,FLUX_LI-870,FLUX_LI-870,FLUX_LI-870
DATE,TIME,DOY,PORT,H,V,LATITUDE,LONGITUDE,TA,PA,CO2_DRY,H2O,FCO2,FCO2_dCdt,FCO2_CV,FCO2_R2,FCO2_SEI,FCO2_SES,FCO2_A,FCO2_Cx,FCO2_C0,FCO2_T0,FCO2_ITER,FCO2_N
[YYYYMMDD],[HHMMSS],[#],[#],[#],[#],[degrees],[degrees],[C],[kPa],[umol+1mol-1],[mmol+1mol-1],[umol+1m-2s-1],[umol+1mol-1s-1],[#],[#],[#],[#],[#],[umol+1mol-1],[umol+1mol-1],[s],[#],[#]
20220125,000055,25.0006,1,1,1,0,0,-0.31,99.9785,449.886,5.44919,0.993472,0.122224,21.28,0.384878,0,0.0259763,0.0287865,454.132,449.886,-3.39311,3,16
20220125,000536,25.0039,2,1,1,39.9404,-5.77488,-0.11,99.9815,471.236,6.15882,0.804512,0.103008,24.572,0.501082,0,0.0252871,0.0205483,476.249,471.236,8.34058,4,16
20220125,001017,25.0071,3,1,1,39.9404,-5.77486,-0.02,99.9768,466.759,5.72045,0.946123,0.119785,21.256,0.186205,0,0.0254292,0.159782,467.509,466.759,6.1491,4,16
20220125,001458,25.0104,4,1,1,39.9404,-5.77486,-0.12,99.978,464.031,5.60336,1.0722,0.135681,22.103,0.44906,0,0.0299546,0.0142222,473.571,464.031,-7.83687,4,16
20220125,001939,25.0136,5,1,1,39.9404,-5.77486,0.97,99.9825,452.908,6.08356,2.03317,0.258429,10.6495,0.825507,0,0.0273822,0.0131309,472.589,452.908,1.45422,5,16
20220125,002420,25.0169,6,1,1,39.9404,-5.77486,1.16,99.9818,461.983,6.18846,2.42346,0.311742,9.45542,0.8646,0,0.0292874,0.00761252,502.935,461.983,-2.14631,2,16
20220125,003055,25.0215,1,1,1,0,0,-0.18,99.9837,458.841,5.39852,1.24833,0.153643,19,0.559175,0,0.0291459,0.0126416,470.995,458.841,-4.89849,2,16
20220125,003536,25.0247,2,1,1,39.9404,-5.77487,-0.05,99.9778,451.512,5.49236,1.33937,0.171406,19.6941,0.18511,0,0.033707,0.0622129,454.267,451.512,-3.89151,3,16
20220125,004017,25.028,3,1,1,39.9404,-5.77488,-0.13,99.9847,459.367,5.65717,0.484573,0.0613164,35.2756,0.263196,0,0.0216198,0.0179313,462.786,459.367,-1.25567,5,16
20220125,004458,25.0312,4,1,1,39.9404,-5.77488,-0.34,99.981,464.008,5.4998,0.653192,0.0825825,31.8347,0.413698,0,0.026275,8.26208e-08,1e+06,464.008,6.1634,10,16
20220125,004939,25.0345,5,1,1,39.9404,-5.77486,0.97,99.9778,459.014,6.06977,2.22865,0.283279,9.65668,0.850852,0,0.027187,0.0107685,485.32,459.014,-1.54293,6,16
20220125,005420,25.0377,6,1,1,39.9404,-5.77486,1.07,99.982,457.869,6.21534,2.68298,0.345011,8.22002,0.876318,0,0.028119,0.0242779,472.08,457.869,4.71099,2,16
20220125,010055,25.0423,1,1,1,0,0,-0.15,99.979,469.836,5.55075,1.94234,0.239121,11.6783,0.506918,0,0.0278079,0.0630381,473.629,469.836,-0.095308,3,16
20220125,010536,25.0456,2,1,1,39.9404,-5.77487,-0.38,99.9765,468.645,5.49851,0.640509,0.081877,31.0712,0.203386,0,0.0254251,0.0275437,471.618,468.645,-6.55697,3,16
20220125,011017,25.0488,3,1,1,39.9404,-5.77486,-0.29,99.9755,465.93,5.59399,0.702609,0.0888568,34.2198,0.368477,0,0.0303918,0.00404192,487.914,465.93,3.45312,9,16
20220125,011458,25.0521,4,1,1,39.9404,-5.77485,-0.35,99.9727,475.918,5.48123,2.32507,0.293955,9.56518,0.578533,0,0.0279409,0.082309,479.489,475.918,1.97903,3,16
20220125,011939,25.0553,5,1,1,39.9404,-5.77486,0.63,99.981,467.935,5.96251,2.38261,0.30244,8.68712,0.884584,0,0.0260734,0.00709766,510.546,467.935,-2.5076,2,16
20220125,012420,25.0586,6,1,1,39.9404,-5.77486,0.7,99.977,456.038,5.95644,3.02322,0.388151,5.98624,0.812791,0,0.0228618,0.105511,459.717,456.038,5.19531,4,16
20220125,013055,25.0631,1,1,1,0,0,-0.45,99.9815,457.258,5.27952,2.07998,0.255721,11.9736,0.579283,0,0.0304964,0.0430316,463.201,457.258,-1.88462,3,16
20220125,013536,25.0664,2,1,1,39.9404,-5.77486,-0.46,99.9805,456.021,5.27855,0.989809,0.126461,18.6196,0.60197,0,0.0235075,0.0171343,463.401,456.021,3.26349,5,16
20220125,014017,25.0696,3,1,1,39.9404,-5.77486,-0.44,99.9808,457.611,5.4915,3.70723,0.468503,6.10944,0.512942,0,0.0281804,0.23673,459.59,457.611,5.46852,7,16
20220125,014458,25.0729,4,1,1,39.9404,-5.77487,-0.52,99.9737,460.146,5.35867,1.3468,0.170137,15.0907,0.185394,0,0.0256103,0.0813673,462.237,460.146,-3.55418,7,16
20220125,014939,25.0761,5,1,1,39.9404,-5.77487,0.51,99.9827,466.958,5.79649,1.50257,0.190614,16.7295,0.622762,0,0.0318234,0.0136332,480.939,466.958,-3.3615,5,16
20220125,015420,25.0794,6,1,1,39.9404,-5.77488,0.61,99.9837,459.906,5.91583,2.39713,0.307644,6.5603,0.896314,0,0.0199123,0.0297732,470.239,459.906,1.84259,2,16
20220125,020056,25.084,1,1,1,0,0,-0.64,99.9798,452.972,5.20399,0.934767,0.114828,21.775,0.264933,0,0.0249737,0.0386554,455.943,452.972,-5.84882,2,16
20220125,020537,25.0872,2,1,1,39.9404,-5.77491,-0.81,99.9958,477.862,5.26271,0.861258,0.109873,23.3402,0.567837,0,0.0256175,1.09925e-07,1e+06,477.862,-4.68492,10,16
20220125,021018,25.0905,3,1,1,39.9404,-5.77489,-0.85,99.999,487.029,5.37732,0.019638,0.00247732,1081.62,0.0254546,0,0.0267951,0.00022614,497.984,487.029,-46.6543,6,16
20220125,021459,25.0937,4,1,1,39.9404,-5.77486,-0.95,99.9993,470.781,5.28868,3.78127,0.476789,5.57931,0.457652,0,0.0261076,0.368138,472.076,470.781,6.35338,5,16
20220125,021940,25.097,5,1,1,39.9404,-5.77487,0.48,99.998,450.492,5.81595,3.13487,0.397567,7.41551,0.685272,0,0.0291734,0.0811533,455.391,450.492,1.68492,4,16
20220125,022421,25.1002,6,1,1,39.9404,-5.77486,0.56,99.9922,463.948,5.92479,2.15931,0.277035,9.90598,0.813322,0,0.0272827,0.0203188,477.583,463.948,0.389341,2,16
20220125,023055,25.1048,1,1,1,0,0,-0.38,99.9945,448.908,5.32758,3.07092,0.377608,5.97583,0.487689,0,0.0222006,0.145119,451.51,448.908,1.67798,10,16
20220125,023536,25.1081,2,1,1,39.9404,-5.77486,-0.27,99.9967,447.586,5.37033,1.03083,0.131783,30.3481,0.2931,0,0.0399689,0.0208943,453.893,447.586,-2.18945,3,16
20220125,024017,25.1113,3,1,1,39.9404,-5.77486,-0.54,99.9985,446.327,5.5098,2.73831,0.345876,12.0404,0.153777,0,0.04148,0.227014,447.85,446.327,4.45551,5,16
20220125,024458,25.1146,4,1,1,39.9404,-5.77485,-0.62,99.991,451.741,5.39112,1.74589,0.22044,13.1759,0.42228,0,0.0289492,0.0629763,455.241,451.741,-0.465268,3,16
20220125,024939,25.1178,5,1,1,39.9404,-5.77486,0.41,99.999,449.81,5.86236,1.69769,0.215261,10.1513,0.857018,0,0.0217301,0.00719079,479.745,449.81,2.5545,2,16
20220125,025420,25.1211,6,1,1,39.9404,-5.77487,0.62,100.003,444.631,5.94811,1.91419,0.245626,9.98674,0.811441,0,0.024389,0.0273333,453.617,444.631,3.4992,5,16
20220125,030056,25.1256,1,1,1,0,0,-0.65,99.9932,459.905,5.34953,0.975681,0.119855,25.0686,0.461827,0,0.0300187,0.00792132,475.036,459.905,-5.94685,5,16
20220125,030537,25.1289,2,1,1,39.9404,-5.77485,-0.74,99.989,462.097,5.2978,1.64306,0.209688,13.4795,0.493074,0,0.0281756,0.0882483,464.473,462.097,4.71039,3,16
20220125,031018,25.1322,3,1,1,39.9404,-5.77485,-0.9,99.9875,459.122,5.35555,0.547698,0.0690839,36.1853,0.179719,0,0.0249873,0.0308777,461.359,459.122,-1.74196,2,16
20220125,031459,25.1354,4,1,1,39.9404,-5.77487,-1.14,99.9815,461.606,5.28825,0.874825,0.110249,18.2413,0.624659,0,0.0200762,0.0101691,472.447,461.606,-0.344898,5,16
20220125,031940,25.1387,5,1,1,39.9404,-5.77488,0.11,99.9863,456.831,5.70203,1.59742,0.202321,15.0659,0.709238,0,0.0304046,0.00910279,479.057,456.831,-1.90595,6,16
20220125,032421,25.1419,6,1,1,39.9404,-5.77487,0.19,99.9877,452.853,5.80252,1.72128,0.220534,14.2359,0.753827,0,0.0313062,0.00595286,489.899,452.853,-0.447925,7,16
20220125,033055,25.1465,1,1,1,0,0,-0.97,99.9792,459.082,5.19375,0.863263,0.105918,22.0344,0.491174,0,0.023311,0.0370726,461.939,459.082,6.851,6,16
20220125,033536,25.1497,2,1,1,39.9404,-5.77489,-0.85,99.9785,462.371,5.18091,2.08929,0.266524,11.6723,0.452323,0,0.0309783,0.141684,464.253,462.371,5.78449,4,16
20220125,034017,25.153,3,1,1,39.9404,-5.77489,-0.9,99.985,459.331,5.32918,1.5087,0.190309,10.9029,0.532768,0,0.0206489,0.055529,462.758,459.331,-2.04501,3,16
20220125,034458,25.1562,4,1,1,39.9404,-5.77489,-0.9,99.976,460.467,5.28066,1.02367,0.129128,26.2476,0.328556,0,0.0338648,0.0286773,464.97,460.467,0.117256,2,16
20220125,034939,25.1595,5,1,1,39.9404,-5.77489,-0.4,99.9835,470.707,5.59914,2.09326,0.264601,11.444,0.745538,0,0.0301483,0.0321672,478.933,470.707,3.21338,4,16
20220125,035420,25.1627,6,1,1,39.9404,-5.77486,-0.12,99.9778,457.474,5.62727,2.64705,0.338731,11.5415,0.637717,0,0.0389262,0.0518178,464.011,457.474,2.22025,3,16
20220125,040056,25.1673,1,1,1,0,0,-1.5,99.9795,473.268,5.02827,0.600788,0.0735575,40.7454,0.300964,0,0.0299609,7.35923e-08,1e+06,473.268,10.1291,5,16
20220125,040537,25.1706,2,1,1,39.9404,-5.77486,-1.05,99.9808,450.479,5.0997,2.49286,0.317743,4.70671,0.843412,0,0.0145634,0.135381,452.827,450.479,5.58525,6,16
20220125,041018,25.1738,3,1,1,39.9404,-5.77486,-1.34,99.9735,464.305,5.16605,0.116943,0.0147262,147.477,0.00998448,0,0.0217171,0.0423134,464.653,464.305,-0.931288,3,16
20220125,041459,25.1771,4,1,1,39.9404,-5.77487,-1.84,99.9707,480.413,5.12277,2.46469,0.309786,7.9741,0.398166,0,0.0244789,0.147018,482.52,480.413,2.60798,5,16
20220125,041940,25.1803,5,1,1,39.9404,-5.77487,-0.82,99.9755,464.811,5.37716,1.6222,0.204714,12.3718,0.764095,0,0.025232,0.0137427,479.707,464.811,-0.65709,5,16
20220125,042421,25.1836,6,1,1,39.9404,-5.77487,-0.69,99.975,454.673,5.39396,2.44566,0.31225,8.95187,0.866184,0,0.0277517,0.01362,477.599,454.673,1.10811,2,16
20220125,043056,25.1881,1,1,1,0,0,-1.6,99.9717,454.628,4.87248,0.945976,0.11577,22.2614,0.533677,0,0.0257421,0.0111746,464.989,454.628,1.52797,4,16
20220125,043537,25.1914,2,1,1,39.9404,-5.77487,-1.2,99.9675,449.927,5.04362,3.53703,0.450606,5.42465,0.253949,0,0.0239631,0.161668,452.714,449.927,-1.12929,6,16
20220125,044018,25.1947,3,1,1,39.9404,-5.77486,-1.01,99.9652,448.002,5.25963,0.578013,0.0728873,46.8321,0.209828,0,0.0341257,0.0155592,452.686,448.002,6.2461,3,16
20220125,044459,25.1979,4,1,1,39.9404,-5.77488,-1.14,99.9697,448.401,5.2739,0.913975,0.115195,24.8758,0.338409,0,0.0286292,0.122109,449.345,448.401,9.13436,5,16
20220125,044940,25.2012,5,1,1,39.9403,-5.77489,0.12,99.966,441.674,5.63196,1.96896,0.249417,14.5914,0.532706,0,0.0362955,0.0338725,449.037,441.674,-2.85837,3,16
20220125,045421,25.2044,6,1,1,39.9404,-5.77489,-0.01,99.9682,450.925,5.69516,5.36391,0.686797,3.76941,0.859536,0,0.0248232,0.141321,455.785,450.925,4.59638,4,16
20220125,050055,25.209,1,1,1,0,0,-0.78,99.9682,448.845,5.14398,0.71185,0.0874064,27.7776,0.433531,0,0.0242613,0.0046618,467.595,448.845,-7.11084,2,16
20220125,050536,25.2122,2,1,1,39.9404,-5.77488,-0.6,99.965,450.57,5.21566,0.754875,0.0963996,31.6217,0.242697,0,0.0304658,0.0201013,455.365,450.57,-6.65316,3,16
